clienteId,idade,genero,regiao,planoAssinatura,valorMensal,tipoContrato,tempoMedioSessaoMin,diasUltimoAcesso,avaliacaoConteudoUltimoMes,visualizacoesMes
1499d427,56,Masculino,Nordeste,padrao,79.9,ANUAL,28,9,3,10
95a9c7b2,56,Masculino,Norte,padrao,29.9,MENSAL,7,51,1,3
9388040c,42,Feminino,Sul,padrao,49.9,MENSAL,9,23,1,3
2855ba03,37,Masculino,Norte,basico,49.9,MENSAL,1,54,1,2
eec82030,62,Feminino,Nordeste,padrao,49.9,MENSAL,3,46,1,2
26ed3111,37,Masculino,Centro-Oeste,basico,29.9,ANUAL,25,19,3,14
26566b7a,55,Masculino,Norte,padrao,29.9,MENSAL,24,19,2,5
46c1c4a1,68,Feminino,Sudeste,basico,29.9,MENSAL,0,30,1,2
d242780e,19,Feminino,Sul,padrao,49.9,ANUAL,69,3,4,47
44864464,68,Masculino,Norte,basico,29.9,MENSAL,9,50,1,2
4b9eb122,30,Masculino,Norte,premium,49.9,ANUAL,94,0,4,91
78857f08,70,Feminino,Centro-Oeste,premium,49.9,ANUAL,83,3,5,59
2a174f5d,29,Masculino,Sudeste,padrao,49.9,ANUAL,67,3,4,48
7e2d51ec,62,Feminino,Nordeste,premium,79.9,ANUAL,105,3,5,81
8e5bf1cc,21,Feminino,Sul,basico,49.9,MENSAL,7,15,1,1
074f5d42,54,Masculino,Centro-Oeste,basico,49.9,MENSAL,9,47,1,1
9573cb2e,25,Masculino,Nordeste,padrao,49.9,MENSAL,9,60,1,3
da2a0cea,31,Feminino,Sudeste,premium,79.9,ANUAL,96,2,5,67
17e36587,20,Masculino,Nordeste,premium,49.9,ANUAL,13,20,3,7
84575990,35,Masculino,Centro-Oeste,premium,49.9,ANUAL,109,3,4,66
1a43d356,30,Masculino,Sul,basico,49.9,ANUAL,18,19,3,8
cbad8a71,61,Masculino,Norte,premium,29.9,MENSAL,12,14,3,10
0da28a63,19,Feminino,Norte,padrao,49.9,MENSAL,7,45,1,4
a8d94638,36,Masculino,Centro-Oeste,padrao,79.9,ANUAL,108,1,4,94
7609ef6a,53,Feminino,Sudeste,padrao,79.9,ANUAL,112,1,5,26
920044f7,22,Masculino,Sudeste,padrao,49.9,MENSAL,12,18,3,12
d9b37bf0,63,Feminino,Sul,basico,49.9,MENSAL,4,41,1,3
efdb9fbc,44,Feminino,Sul,premium,79.9,ANUAL,52,0,5,74
49695c21,30,Masculino,Sul,padrao,29.9,ANUAL,21,17,2,10
406beb04,58,Feminino,Norte,basico,49.9,MENSAL,27,8,3,9
d51b0ce7,59,Masculino,Norte,padrao,49.9,ANUAL,29,17,3,12
fd49e8c1,38,Masculino,Sudeste,padrao,79.9,ANUAL,90,3,4,98
ea6e1e75,29,Masculino,Norte,padrao,29.9,MENSAL,1,27,1,5
734e34a5,18,Feminino,Nordeste,premium,79.9,ANUAL,46,1,4,27
5a29035e,56,Masculino,Nordeste,basico,29.9,MENSAL,6,16,1,0
7606ce52,45,Feminino,Centro-Oeste,premium,79.9,ANUAL,19,17,2,15
b999be5c,27,Feminino,Norte,premium,29.9,ANUAL,13,19,2,6
d090fadd,51,Masculino,Nordeste,basico,49.9,MENSAL,6,22,1,5
9076865d,56,Feminino,Centro-Oeste,premium,29.9,MENSAL,28,19,2,7
a5793f31,23,Masculino,Nordeste,basico,49.9,MENSAL,0,43,1,3
e4078ba1,53,Feminino,Sudeste,padrao,49.9,ANUAL,104,1,4,64
b8d4dbc9,50,Masculino,Sul,premium,79.9,ANUAL,78,1,5,58
51c8c2e1,59,Feminino,Nordeste,premium,79.9,ANUAL,51,1,4,31
4065ee4d,31,Feminino,Sul,padrao,49.9,ANUAL,95,0,4,78
159e010d,28,Masculino,Sudeste,premium,79.9,MENSAL,16,16,3,12
bc24e908,51,Feminino,Nordeste,padrao,49.9,MENSAL,5,42,1,5
7273e403,59,Feminino,Sul,padrao,49.9,ANUAL,72,3,4,85
1c49c0a0,35,Masculino,Sul,premium,49.9,MENSAL,19,15,2,9
1c443459,48,Masculino,Centro-Oeste,basico,79.9,ANUAL,25,18,3,12
f3006726,37,Masculino,Centro-Oeste,padrao,79.9,ANUAL,103,0,4,94
74f7150e,29,Feminino,Nordeste,padrao,49.9,ANUAL,104,3,4,76
4a791939,25,Masculino,Sul,basico,49.9,MENSAL,22,7,3,10
eade07b8,42,Feminino,Nordeste,premium,79.9,ANUAL,81,3,4,21
b1153f6d,67,Masculino,Nordeste,basico,49.9,MENSAL,7,36,1,5
b3c480ac,32,Feminino,Centro-Oeste,premium,79.9,ANUAL,83,3,4,28
6614fd81,63,Masculino,Nordeste,padrao,49.9,ANUAL,101,0,4,74
006a60d9,48,Masculino,Sudeste,premium,29.9,ANUAL,10,12,3,12
28faaffa,35,Feminino,Norte,premium,49.9,ANUAL,46,1,5,37
a49c59b0,25,Masculino,Norte,basico,49.9,ANUAL,11,10,3,7
79115ddd,36,Feminino,Sudeste,basico,29.9,MENSAL,10,32,1,1
4d56cb63,68,Feminino,Centro-Oeste,premium,79.9,ANUAL,93,0,4,60
0f33a006,43,Masculino,Nordeste,premium,79.9,ANUAL,107,3,5,60
de0c882b,61,Masculino,Sudeste,padrao,79.9,ANUAL,105,2,5,77
0091984c,49,Masculino,Sul,padrao,49.9,ANUAL,100,3,5,22
0b23ae33,59,Masculino,Centro-Oeste,basico,49.9,MENSAL,1,43,1,4
a02a7bdd,22,Masculino,Centro-Oeste,padrao,49.9,MENSAL,2,23,1,3
1781c170,27,Masculino,Sul,padrao,29.9,MENSAL,5,58,1,3
acefe749,68,Masculino,Norte,padrao,79.9,ANUAL,54,2,5,34
b5f0111b,36,Masculino,Sudeste,padrao,49.9,MENSAL,8,50,1,1
a073294a,44,Feminino,Centro-Oeste,premium,79.9,ANUAL,102,3,5,100
e5d9385b,68,Masculino,Centro-Oeste,padrao,79.9,ANUAL,82,1,4,47
fa13d2f4,31,Feminino,Norte,premium,49.9,MENSAL,23,18,2,12
9caa4809,26,Feminino,Norte,padrao,29.9,MENSAL,17,19,2,11
7867fd5f,65,Masculino,Sudeste,premium,49.9,ANUAL,119,2,5,52
430137c0,52,Masculino,Sul,padrao,29.9,MENSAL,4,54,1,5
0a263624,63,Masculino,Sul,premium,29.9,MENSAL,11,20,2,12
38bcbde6,58,Feminino,Centro-Oeste,padrao,29.9,MENSAL,7,34,1,3
24cbe11c,21,Feminino,Norte,padrao,49.9,ANUAL,27,17,2,15
