clienteId,idade,genero,regiao,planoAssinatura,valorMensal,tipoContrato,tempoMedioSessaoMin,diasUltimoAcesso,avaliacaoConteudoUltimoMes,visualizacoesMes
6dcfa425,56,Masculino,Nordeste,padrao,79.9,ANUAL,28,9,3,10
b819504a,56,Masculino,Norte,padrao,29.9,MENSAL,7,51,1,3
61d4b6e9,42,Feminino,Sul,padrao,49.9,MENSAL,9,23,1,3
01222897,37,Masculino,Norte,basico,49.9,MENSAL,1,54,1,2
e05c5bd0,62,Feminino,Nordeste,padrao,49.9,MENSAL,3,46,1,2
2e234af1,37,Masculino,Centro-Oeste,basico,29.9,ANUAL,25,19,3,14
ba04c6b1,55,Masculino,Norte,padrao,29.9,MENSAL,24,19,2,5
03257ac6,68,Feminino,Sudeste,basico,29.9,MENSAL,0,30,1,2
85672bc1,19,Feminino,Sul,padrao,49.9,ANUAL,69,3,4,47
d23f90fe,68,Masculino,Norte,basico,29.9,MENSAL,9,50,1,2
520ce20b,30,Masculino,Norte,premium,49.9,ANUAL,94,0,4,91
7335fe42,70,Feminino,Centro-Oeste,premium,49.9,ANUAL,83,3,5,59
0e586bf1,29,Masculino,Sudeste,padrao,49.9,ANUAL,67,3,4,48
23f0fd4a,62,Feminino,Nordeste,premium,79.9,ANUAL,105,3,5,81
95d4977a,21,Feminino,Sul,basico,49.9,MENSAL,7,15,1,1
406293b5,54,Masculino,Centro-Oeste,basico,49.9,MENSAL,9,47,1,1
45135b39,25,Masculino,Nordeste,padrao,49.9,MENSAL,9,60,1,3
3d1f7be0,31,Feminino,Sudeste,premium,79.9,ANUAL,96,2,5,67
e30620eb,20,Masculino,Nordeste,premium,49.9,ANUAL,13,20,3,7
a12df79f,35,Masculino,Centro-Oeste,premium,49.9,ANUAL,109,3,4,66
be1e4e79,30,Masculino,Sul,basico,49.9,ANUAL,18,19,3,8
0e0c315f,61,Masculino,Norte,premium,29.9,MENSAL,12,14,3,10
30c6eaa2,19,Feminino,Norte,padrao,49.9,MENSAL,7,45,1,4
c5a22362,36,Masculino,Centro-Oeste,padrao,79.9,ANUAL,108,1,4,94
9871f0c2,53,Feminino,Sudeste,padrao,79.9,ANUAL,112,1,5,26
8736af0a,22,Masculino,Sudeste,padrao,49.9,MENSAL,12,18,3,12
905384ce,63,Feminino,Sul,basico,49.9,MENSAL,4,41,1,3
ac8f56c1,44,Feminino,Sul,premium,79.9,ANUAL,52,0,5,74
2631825b,30,Masculino,Sul,padrao,29.9,ANUAL,21,17,2,10
