idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,tem_avaliacao_conteudo_media,tem_avaliacao_conteudo_ultimo_mes,tem_avaliacao_plataforma,visualizacoes_por_dia,engajamento_score,risco_score,inativo_flag
45,1,3,1,2,0,24.9,13,21,0,0,23,177,1,5,2.5,5.0,3.0,1,1,1,0.7666666666666667,0.371129802227779,0.0499999999999999,0
57,1,3,1,3,0,24.9,19,7,0,1,55,37,2,5,,4.0,1.0,0,1,1,1.8333333333333333,0.2669849208153368,0.0,0
39,0,0,1,1,0,24.9,3,26,0,0,17,78,1,2,4.5,,3.0,1,0,1,0.5666666666666667,0.1894521482155035,0.14375,0
47,1,2,0,2,1,32.0,18,9,0,1,10,23,0,2,,,2.5,0,0,1,0.3333333333333333,0.0746836402212624,0.0,0
29,1,3,1,5,0,24.9,9,18,0,0,20,11,1,5,2.0,1.0,1.5,1,1,1,0.6666666666666666,0.0931423808441312,0.05625,0
55,0,4,1,4,0,24.9,4,22,0,2,18,75,3,3,4.0,4.5,3.5,1,1,1,0.6,0.1884064560127301,0.1124999999999999,0
53,1,4,0,2,1,32.0,28,11,0,0,23,151,1,1,4.0,,3.0,1,0,1,0.7666666666666667,0.3293627339546867,0.0,0
22,1,0,1,2,0,24.9,12,51,0,0,0,5,3,5,2.0,,4.0,1,0,1,0.0,0.0080321285140562,0.2437499999999999,1
50,1,3,1,1,1,38.0,19,44,0,0,0,24,3,4,1.5,,3.5,1,0,1,0.0,0.0385542168674698,0.1562499999999999,1
49,1,4,1,4,1,38.0,0,0,0,0,38,33,1,2,,5.0,,0,1,0,1.2666666666666666,0.1964082746078654,0.0,0
26,0,1,1,2,1,38.0,4,41,0,2,0,13,1,5,4.0,,,1,0,0,0.0,0.0208835341365461,0.2312499999999999,1
48,0,4,1,2,0,24.9,3,8,0,1,46,82,2,1,,,3.0,0,0,1,1.5333333333333334,0.3053118132908994,0.0312499999999999,0
18,1,3,0,2,2,38.0,7,13,0,3,55,125,2,5,,3.0,4.0,0,1,1,1.8333333333333333,0.4083503826627264,0.0375,0
18,0,4,1,3,0,24.9,4,65,0,1,0,5,3,3,,,,0,0,0,0.0,0.0080321285140562,0.38125,1
31,0,2,0,2,2,38.0,8,41,0,0,0,43,0,3,,,,0,0,0,0.0,0.0690763052208835,0.20625,1
53,1,0,0,2,2,38.0,48,33,0,1,0,22,3,5,4.0,,1.5,1,0,1,0.0,0.0353413654618473,0.0,0
31,0,1,1,5,1,38.0,13,22,0,1,2,9,1,0,,1.5,4.5,0,1,1,0.0666666666666666,0.0220050011366219,0.0562499999999999,0
47,1,4,0,2,2,38.0,8,19,0,1,69,119,1,5,,3.0,4.0,0,1,1,2.3,0.4515420171251042,0.06875,0
48,1,3,1,3,2,49.9,18,24,0,1,16,110,3,2,,3.5,1.5,0,1,1,0.5333333333333333,0.237084185799803,0.0375,0
51,3,0,1,3,0,24.9,3,18,0,0,56,94,0,0,4.0,4.5,4.0,1,1,1,1.8666666666666667,0.3623247707812381,0.09375,0
18,1,3,1,2,1,38.0,7,15,0,1,14,125,3,1,4.0,,1.0,1,0,1,0.4666666666666667,0.2536334015306509,0.0499999999999999,0
77,1,1,1,1,0,24.9,9,24,0,2,19,132,1,2,4.0,,2.0,1,0,1,0.6333333333333333,0.2837463059786315,0.09375,0
30,0,0,1,5,0,24.9,2,11,0,2,70,43,2,1,3.5,3.0,3.0,1,1,1,2.333333333333333,0.3332272486171099,0.0562499999999999,0
44,1,1,1,1,1,38.0,6,44,0,0,0,100,1,5,1.0,,3.5,1,0,1,0.0,0.1606425702811245,0.2374999999999999,1
50,1,4,1,2,1,38.0,4,27,0,1,6,113,1,5,4.0,,1.0,1,0,1,0.2,0.2041676138516329,0.14375,0
52,4,0,0,2,2,38.0,34,24,1,2,0,72,2,4,,,2.5,0,0,1,0.0,0.1156626506024096,0.0,0
25,0,3,1,1,1,38.0,21,43,0,1,0,46,3,3,2.0,,3.0,1,0,1,0.0,0.0738955823293172,0.1374999999999999,1
