clienteId,idade,genero,regiao,valorMensal,tempoAssinaturaMeses,planoAssinatura,metodoPagamento,dispositivoPrincipal,visualizacoesMes,contatosSuporte,avaliacaoPlataforma,avaliacaoConteudoMedia,avaliacaoConteudoUltimoMes,tempoMedioSessaoMin,diasUltimoAcesso,previsao,probabilidade,riscoAlto,modeloUsado
UNKNOWN,75,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1600,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,70,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1400,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,45,Masculino,Sudeste,29.90,12,basico,credito,mobile,3,4,2.4,4.0,1.1,45,57,Vai cancelar,0.9000,true,Python AI Service (churn_model_v4.joblib)
UNKNOWN,37,Masculino,Sudeste,29.90,12,basico,credito,mobile,2,7,1.1,4.0,1.7,45,42,Vai cancelar,0.8800,true,Python AI Service (churn_model_v4.joblib)
UNKNOWN,35,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1800,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,65,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1400,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,34,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1800,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,66,Masculino,Sudeste,29.90,12,basico,credito,mobile,3,7,2.2,4.0,1.2,45,42,Vai cancelar,0.8800,true,Python AI Service (churn_model_v4.joblib)
UNKNOWN,23,Masculino,Sudeste,29.90,12,basico,credito,mobile,4,7,1.2,4.0,1.2,45,89,Vai cancelar,0.9400,true,Python AI Service (churn_model_v4.joblib)
UNKNOWN,35,Masculino,Sudeste,29.90,12,basico,credito,mobile,1,3,2.4,4.0,1.5,45,71,Vai cancelar,0.9000,true,Python AI Service (churn_model_v4.joblib)
UNKNOWN,55,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1400,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,39,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1600,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,75,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1600,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,31,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.2000,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,18,Masculino,Sudeste,29.90,12,basico,credito,mobile,2,7,1.9,4.0,1.4,45,64,Vai cancelar,0.9400,true,Python AI Service (churn_model_v4.joblib)
UNKNOWN,19,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.2000,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,56,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.1400,false,Python AI Service (churn_model_v4.joblib)
UNKNOWN,29,Masculino,Sudeste,29.90,12,basico,credito,mobile,20,0,4.0,4.0,4.0,45,1,Vai continuar,0.2000,false,Python AI Service (churn_model_v4.joblib)
