idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal
75,25,Basico,40.86,152,29,3,4.8,boleto,mobile
70,53,Standard,21.32,37,155,4,1,debito,mobile
45,30,Standard,32.46,57,133,4,2.9,boleto,computer
37,58,Standard,46.99,7,125,3,1.7,debito,computer
35,35,Standard,58.35,104,20,0,3.7,credito,computer
65,8,Premium,20.43,125,98,0,4.7,credito,smart_tv
34,20,Standard,51.00,137,12,4,2.2,boleto,mobile
66,38,Standard,25.14,25,144,5,1.7,credito,computer
23,19,Basico,55.12,192,35,2,3.1,boleto,smart_tv
35,30,Basico,22.14,50,177,3,3.4,debito,mobile
55,26,Standard,59.12,112,17,0,3.3,credito,mobile
39,31,Basico,47.17,45,40,5,3,credito,smart_tv
75,44,Basico,27.91,136,36,1,2.5,credito,mobile
31,51,Basico,34.59,100,123,2,3,boleto,computer
18,2,Premium,28.37,197,41,2,2.3,credito,smart_tv
19,46,Basico,55.32,44,34,1,2.3,debito,mobile
56,14,Premium,31.55,190,10,3,4,credito,computer
29,32,Premium,35.21,117,111,0,2.6,boleto,computer
49,24,Premium,48.07,116,92,3,3.6,credito,smart_tv
68,25,Basico,50.02,179,117,3,4.1,credito,smart_tv
66,58,Premium,30.81,55,175,3,1.9,boleto,mobile
53,42,Basico,20.24,169,67,5,4.8,boleto,mobile
56,8,Standard,46.24,135,92,2,1.9,boleto,smart_tv
60,32,Basico,38.18,184,90,4,4.8,boleto,smart_tv
49,29,Basico,42.31,33,28,0,2.8,boleto,computer
31,21,Basico,52.43,66,74,0,2.1,debito,mobile
34,16,Basico,34.82,196,84,4,4.1,credito,computer
58,21,Standard,45.23,167,176,4,4.2,debito,smart_tv
41,49,Premium,39.32,124,137,5,4.5,credito,mobile
44,13,Premium,57.46,172,31,0,2.4,debito,smart_tv
34,50,Premium,59.29,61,28,4,1.5,credito,mobile
48,57,Basico,59.05,184,41,0,4.5,credito,smart_tv
61,53,Basico,33.13,155,104,0,2.4,debito,computer
53,32,Basico,34.23,1,42,0,1.5,boleto,mobile
