cliente_id,idade,genero,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,regiao
CLI-00000,72,Feminino,25,Premium,52.13,23,81,7,2.7,2.5,1.2,Sudeste
CLI-00001,47,Feminino,30,Familia,94.36,48,66,5,1.8,2.6,4.2,Sudeste
CLI-00002,49,Masculino,30,Familia,34.81,41,40,0,2.3,1.2,4.5,Oeste
CLI-00003,21,Masculino,51,Premium,68.86,46,41,6,1.6,4.6,3.1,Sul
CLI-00004,57,Feminino,52,Basico,60.13,42,54,9,1.7,1.8,4.5,Oeste
CLI-00005,56,Masculino,8,Familia,49.89,13,95,10,2.7,2.9,1.9,Sul
CLI-00006,52,Feminino,48,Basico,93.19,13,80,10,4.0,4.7,3.1,Norte
CLI-00007,49,Feminino,18,Basico,92.0,32,101,2,4.0,4.5,1.4,Leste
CLI-00008,20,Feminino,13,Basico,90.14,34,92,5,1.5,4.5,2.6,Leste
CLI-00009,38,Feminino,5,Basico,74.68,41,30,3,2.7,3.3,1.5,Sudeste
CLI-00010,68,Masculino,7,Basico,46.04,37,60,6,1.4,2.4,3.3,Oeste
CLI-00011,41,Masculino,34,Familia,60.9,12,22,1,4.4,2.3,1.6,Sudeste
CLI-00012,19,Feminino,13,Familia,37.03,29,49,3,4.4,3.1,4.7,Oeste
CLI-00013,27,Feminino,18,Premium,39.43,35,82,8,3.5,1.1,1.7,Oeste
CLI-00014,37,Masculino,30,Basico,50.87,50,40,9,4.9,1.4,3.2,Leste
CLI-00015,20,Masculino,47,Premium,90.69,30,40,10,1.9,3.1,1.1,Oeste
CLI-00016,55,Masculino,58,Basico,25.32,33,106,2,2.4,3.7,2.6,Leste
CLI-00017,72,Masculino,12,Basico,58.81,39,109,4,1.6,1.6,3.0,Norte
CLI-00018,28,Masculino,22,Premium,91.94,4,14,10,1.1,4.0,1.6,Oeste
CLI-00019,49,Masculino,44,Familia,84.53,12,107,10,4.0,4.1,2.9,Sul
CLI-00020,31,Feminino,8,Basico,75.35,9,65,7,3.7,3.7,3.0,Norte
CLI-00021,52,Feminino,1,Premium,52.41,44,72,9,2.3,5.0,2.2,Sudeste
CLI-00022,64,Masculino,43,Basico,81.81,26,46,0,4.7,3.7,2.1,Oeste
CLI-00023,66,Feminino,14,Premium,56.61,27,73,7,1.9,4.8,1.0,Leste
CLI-00024,35,Feminino,7,Basico,70.42,34,24,6,4.2,4.3,2.1,Oeste
CLI-00025,76,Masculino,7,Familia,62.25,16,88,4,1.1,4.1,4.7,Sul
CLI-00026,48,Masculino,16,Familia,90.03,42,92,3,2.7,4.8,1.7,Sul
CLI-00027,79,Masculino,54,Premium,86.74,7,86,10,2.9,2.1,1.6,Sudeste
CLI-00028,24,Feminino,23,Premium,35.45,19,33,9,4.2,4.5,1.8,Leste
CLI-00029,56,Feminino,54,Familia,75.88,19,12,9,2.0,4.5,4.6,Sul
CLI-00030,49,Feminino,16,Familia,59.44,39,30,1,2.4,2.6,2.7,Norte
CLI-00031,65,Masculino,3,Familia,23.5,21,87,5,3.5,2.1,1.7,Sudeste
CLI-00032,43,Feminino,27,Premium,54.16,43,16,6,3.3,4.5,4.1,Sudeste
CLI-00033,72,Feminino,14,Basico,92.08,23,107,2,3.7,4.8,4.1,Norte
CLI-00034,80,Masculino,36,Familia,95.42,25,86,6,4.3,3.9,1.2,Norte
CLI-00035,67,Feminino,56,Premium,20.22,25,78,6,3.4,2.3,3.9,Leste
CLI-00036,68,Feminino,24,Familia,87.97,10,33,2,3.8,3.7,3.4,Sul
CLI-00037,51,Masculino,46,Premium,61.19,40,37,0,4.2,1.3,1.6,Norte
CLI-00038,25,Feminino,10,Basico,67.06,27,95,2,4.3,3.5,1.1,Oeste
CLI-00039,79,Feminino,13,Familia,71.72,34,19,9,2.1,1.3,2.6,Norte
CLI-00040,35,Masculino,38,Premium,24.41,46,21,5,1.6,2.7,1.3,Leste
CLI-00041,48,Masculino,24,Premium,67.64,12,68,6,2.5,1.9,2.4,Sudeste
CLI-00042,80,Feminino,43,Basico,38.54,22,80,6,1.9,3.1,4.4,Sudeste
CLI-00043,35,Feminino,56,Premium,57.61,33,80,8,3.7,4.7,4.9,Norte
CLI-00044,48,Feminino,9,Familia,82.09,19,48,2,4.2,3.7,3.5,Oeste
CLI-00045,22,Masculino,54,Premium,44.43,1,74,8,3.1,4.4,4.6,Sul
CLI-00046,29,Feminino,1,Familia,89.23,31,50,1,4.5,1.0,1.2,Norte
CLI-00047,79,Feminino,30,Basico,40.14,3,31,1,2.4,2.8,3.6,Sul
CLI-00048,38,Feminino,43,Premium,47.81,46,114,7,3.9,4.3,4.4,Oeste
CLI-00049,26,Masculino,3,Familia,48.22,46,53,1,3.5,3.7,2.5,Sul
CLI-00050,44,Feminino,25,Familia,56.77,15,24,5,2.8,3.6,3.1,Norte
CLI-00051,67,Feminino,36,Familia,66.91,31,37,10,2.2,3.1,1.4,Norte
CLI-00052,60,Feminino,34,Basico,56.4,0,63,1,4.9,1.5,3.4,Oeste
CLI-00053,66,Feminino,32,Familia,34.46,6,72,0,3.3,3.7,1.5,Oeste
CLI-00054,73,Masculino,19,Familia,23.79,45,33,0,2.6,3.4,1.6,Sul
CLI-00055,62,Feminino,46,Premium,66.63,41,90,7,2.6,4.4,1.5,Sudeste
CLI-00056,70,Feminino,51,Premium,95.89,25,93,0,2.1,3.2,4.9,Sudeste
CLI-00057,25,Feminino,52,Familia,23.74,34,11,6,1.0,1.1,3.7,Norte
CLI-00058,44,Feminino,1,Familia,31.27,7,87,9,3.7,4.8,4.0,Leste
CLI-00059,40,Feminino,60,Premium,32.75,12,69,10,3.5,3.1,2.6,Norte
CLI-00060,21,Feminino,9,Basico,81.65,25,54,10,4.1,4.3,4.5,Sudeste
CLI-00061,64,Masculino,14,Basico,48.71,10,72,10,1.6,1.5,3.3,Sul
CLI-00062,68,Feminino,58,Premium,51.23,13,69,5,4.8,2.9,2.4,Sul
CLI-00063,65,Feminino,42,Familia,91.29,43,72,4,3.9,2.1,3.1,Norte
CLI-00064,54,Masculino,56,Premium,96.07,36,112,2,4.5,2.3,2.2,Sudeste
CLI-00065,32,Feminino,9,Basico,55.9,29,15,5,1.7,3.9,4.4,Sudeste
CLI-00066,63,Feminino,45,Premium,80.85,40,99,6,2.4,3.3,2.9,Norte
CLI-00067,30,Masculino,3,Premium,93.87,37,10,0,4.2,4.7,2.9,Sul
CLI-00068,19,Feminino,41,Familia,84.62,25,84,5,4.0,2.3,3.7,Oeste
CLI-00069,70,Feminino,44,Familia,57.03,6,57,0,3.1,1.7,3.0,Norte
CLI-00070,21,Masculino,23,Familia,56.97,7,52,6,5.0,1.7,4.1,Oeste
CLI-00071,65,Masculino,8,Premium,44.63,11,81,0,1.1,2.2,4.5,Norte
CLI-00072,27,Feminino,22,Basico,74.36,24,73,4,1.6,1.9,1.4,Sudeste
CLI-00073,36,Masculino,32,Familia,95.07,23,34,1,4.2,2.4,2.4,Sul
CLI-00074,45,Feminino,23,Familia,97.48,6,64,0,3.9,3.8,1.0,Sudeste
CLI-00075,56,Masculino,1,Familia,32.11,10,31,7,1.4,4.1,4.9,Oeste
CLI-00076,66,Masculino,53,Premium,93.95,8,14,1,3.8,4.8,4.7,Sul
CLI-00077,37,Masculino,1,Premium,68.43,43,10,3,4.1,1.9,1.6,Sul
CLI-00078,51,Masculino,5,Familia,39.12,9,56,6,5.0,3.7,4.2,Leste
CLI-00079,72,Feminino,51,Basico,43.45,49,70,6,4.2,1.7,2.6,Norte
CLI-00080,68,Feminino,54,Familia,59.8,30,67,7,4.4,2.5,3.6,Leste
CLI-00081,49,Feminino,6,Premium,40.06,8,90,7,4.3,4.7,2.7,Leste
CLI-00082,47,Feminino,10,Familia,32.47,21,26,4,3.1,4.4,2.0,Sudeste
CLI-00083,64,Masculino,17,Premium,47.76,41,112,9,4.5,1.8,2.4,Leste
CLI-00084,68,Feminino,43,Basico,96.58,4,100,4,3.9,4.7,3.0,Sul
CLI-00085,58,Masculino,35,Premium,41.05,36,74,6,1.7,3.6,4.4,Sul
CLI-00086,57,Masculino,20,Familia,26.77,7,61,3,4.9,4.8,2.6,Sudeste
CLI-00087,45,Feminino,38,Premium,53.39,13,83,10,4.5,1.4,4.5,Sudeste
